Title,Year,Runtime,Director,Genres,Rate,Votes
Ilha do Medo,2010,138 min,Martin Scorsese,"Mystery, Thriller",8.1,1049445.0
Kill Bill: Volume 1,2003,111 min,Quentin Tarantino,"Action, Crime, Thriller",8.1,943258.0
Procurando Nemo,2003,100 min,Andrew Stanton,"Animation, Adventure, Comedy",8.1,899540.0
O Show de Truman: O Show da Vida,1998,103 min,Peter Weir,"Comedy, Drama, Sci-Fi",8.1,871704.0
O Sexto Sentido,1999,107 min,M. Night Shyamalan,"Drama, Mystery, Thriller",8.1,869375.0
Mad Max: Estrada da Furia,2015,120 min,George Miller,"Action, Adventure, Sci-Fi",8.1,816928.0
Jurassic Park: O Parque dos Dinossauros,1993,127 min,Steven Spielberg,"Action, Adventure, Sci-Fi",8.1,811920.0
Onde os Fracos Nao Tem Vez,2007,122 min,Ethan Coen,"Crime, Drama, Thriller",8.1,796140.0
Garota Exemplar,2014,149 min,David Fincher,"Drama, Mystery, Thriller",8.1,795318.0
Prenda-me se for Capaz,2002,141 min,Steven Spielberg,"Biography, Crime, Drama",8.1,758432.0
Harry Potter e as Reliquias da Morte - Parte 2,2011,130 min,David Yates,"Adventure, Drama, Fantasy",8.1,716736.0
Gran Torino,2008,116 min,Clint Eastwood,Drama,8.1,688414.0
O Grande Lebowski,1998,117 min,Joel Coen,"Comedy, Crime, Sport",8.1,686766.0
O Grande Hotel Budapeste,2014,99 min,Wes Anderson,"Adventure, Comedy, Crime",8.1,658947.0
Blade Runner: O Cacador de Androides,1982,117 min,Ridley Scott,"Action, Sci-Fi, Thriller",8.1,652892.0
Como Treinar o Seu Dragao,2010,98 min,Dean DeBlois,"Animation, Action, Adventure",8.1,631823.0
Trainspotting: Sem Limites,1996,93 min,Danny Boyle,Drama,8.1,606778.0
Menina de Ouro,2004,132 min,Clint Eastwood,"Drama, Sport",8.1,603700.0
12 Anos de Escravidao,2013,134 min,Steve McQueen,"Biography, Drama, History",8.1,599723.0
Logan,2017,137 min,James Mangold,"Action, Drama, Sci-Fi",8.1,597295.0
Fargo: Uma Comedia de Erros,1996,98 min,Joel Coen,"Crime, Drama, Thriller",8.1,580755.0
Os Suspeitos,2013,153 min,Denis Villeneuve,"Crime, Drama, Mystery",8.1,551631.0
Na Natureza Selvagem,2007,148 min,Sean Penn,"Adventure, Biography, Drama",8.1,540316.0
Rocky: Um Lutador,1976,120 min,John G. Avildsen,"Drama, Sport",8.1,489815.0
Rush: No Limite da Emocao,I 2013,123 min,Ron Howard,"Biography, Drama, Sport",8.1,407280.0
Historias Cruzadas,2011,146 min,Tate Taylor,Drama,8.1,404370.0
Ate o Ultimo Homem,2016,139 min,Mel Gibson,"Biography, Drama, History",8.1,392232.0
Sociedade dos Poetas Mortos,1989,128 min,Peter Weir,"Comedy, Drama",8.1,389688.0
Spotlight: Segredos Revelados,I 2015,129 min,Tom McCarthy,"Biography, Crime, Drama",8.1,385180.0
A Princesa Prometida,1987,98 min,Rob Reiner,"Adventure, Family, Fantasy",8.1,372047.0
Platoon,1986,120 min,Oliver Stone,"Drama, War",8.1,362364.0
A Vida de Brian,1979,94 min,Terry Jones,Comedy,8.1,346765.0
O Enigma de Outro Mundo,1982,109 min,John Carpenter,"Horror, Mystery, Sci-Fi",8.1,346241.0
Conta Comigo,1986,89 min,Rob Reiner,"Adventure, Drama",8.1,344266.0
O Quarto de Jack,I 2015,118 min,Lenny Abrahamson,"Drama, Thriller",8.1,335820.0
Hotel Ruanda,2004,121 min,Terry George,"Biography, Drama, History",8.1,321013.0
O Franco Atirador,1978,183 min,Michael Cimino,"Drama, War",8.1,293796.0
...E o Vento Levou,1939,238 min,Victor Fleming,"Drama, History, Romance",8.1,272614.0
Antes do Amanhecer,1995,101 min,Richard Linklater,"Drama, Romance",8.1,248559.0
Sempre ao Seu Lado,2009,93 min,Lasse Hallström,"Drama, Family",8.1,234113.0
Amores Brutos,2000,154 min,Alejandro G. Iñárritu,"Drama, Thriller",8.1,212394.0
Ben-Hur,1959,212 min,William Wyler,"Adventure, Drama, History",8.1,207742.0
O Homem Elefante,1980,124 min,David Lynch,"Biography, Drama",8.1,206645.0
A Ponte do Rio Kwai,1957,161 min,David Lean,"Adventure, Drama, War",8.1,192056.0
Relatos Selvagens,2014,122 min,Damián Szifron,"Comedy, Drama, Thriller",8.1,159466.0
Mary e Max: Uma Amizade Diferente,2009,92 min,Adam Elliot,"Animation, Comedy, Drama",8.1,155772.0
Rebeldia Indomavel,1967,127 min,Stuart Rosenberg,"Crime, Drama",8.1,153439.0
O 3º Homem,1949,104 min,Carol Reed,"Film-Noir, Mystery, Thriller",8.1,150101.0
Em Nome do Pai,1993,133 min,Jim Sheridan,"Biography, Drama",8.1,146561.0
